0,hi,greet
1,hello,greet
2,how are you,greet
3,hey,greet
4,hey good morning,greet
5,namaste,greet
6,good night,greet
7,I want to order a pizza,order
8,I just want to order biryani,order
9,what is the price of pizza,price
10,I want to order a samosa,order
11,Give the menu,menu
12,Cancel the order,end
13,Do you serve Mutton Rogan Josh Recipe?,menu
14, I want to order  Mutton Masala Gravy,order
15,what is the price  of Mutton Curry ,price
16,  I just want to order Prawn curry ,order
17,Do you serve Chicken Shawarma recipe ,menu
18,How many chicken curry do you serve,menu
19,I want to order   Butter Chicken ,order
20,what are the all  Mutto curry do you serve,menu
21,Do you serve Chicken Biryani Recipe,menu
22,What are the all fish Curry do you serve,menu
23,what is the price of Andhra chicken fry ,price
24,can I have the menu for the  prawn Curry,menu
25,can you serve Chicken cutlet ,menu
26,can I have the price for all prawn curry,price
27,Do you serve Chettinad biryani recipe,menu
28,what is the price of  Tandoori Chicken,price
29, I just want to order of  Shrimp Pakora ,order
30,do you serve Reshmi Kabab ,menu
31, what is the price Reshmi Kabab ,price
32,I  just want to order Chicken Burger,order
33,Do you serve Chicken Burger ,menu
34,Do you serve Ambur Star Biryani,menu
35,Do you serve   Amritsari fish recipe ,menu
36,what is the  price of  Amritsari fish recipe ,price
37,Do you serve Andhra chicken curry recipe,menu
38,Do you serve  Thalassery biryani ,menu
39,Do you serve Andhra chilli chicken ,menu
40,what is the price of Andhra chilli chicken ,price
41,Do you serve Apollo Fish Fry,menu
42,what is the price of Apollo fish fry,price
43,Do you serve  Awadhi chicken biryani ,menu
44,Do you serve Baked fish,menu
45, what the price of Chicken Butter Masala,price
46,Do you serve Chicken Butter Masala,menu
47,What about chicken chettinad gravy,menu
48, I just. Want to order chicken  chettinad gravy,order
49,Does  you  serve  Chicken Curry ,menu
50,can you make an order of chicken curry ,order
51,Do you serve Chicken Dum Biryani,menu
52,does you serve  Chicken fried rice ,menu
53,what is the price of  Chicken fried rice ,price
54,Do you serve Chicken fry biryani,menu
55,I just want to order  Chicken fry biryani,order
56,does you provid  Chicken keema ,menu
57,Do you serve Chicken Kurma,menu
58,what is the price of chicken kurma,price
